ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000301.1	anabaenopeptin 915	CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O	Planktothrix agardhii NIVA-CYA 126/8	KWDLKNNQGMAHJR-HBWVXJRASA-N	MIBiG4.0rc1	
BGC0000302.0	anabaenopeptin	C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3	Anabaena sp. 90	BFLURJDTSAXPNZ-NCUXDPMLSA-N	MIBiG4.0rc1	
BGC0000303.0	anthramycin; Antramycin	CC1=C(O)C2=C(C=C1)C(=O)N1C=C(CC1C(O)N2)\C=C\C(N)=O	Streptomyces refuineus subsp. thermotolerans; Streptomyces; Streptomyces refuineus	VGQOVCHZGQWAOI-HWKANZROSA-N	MIBiG4.0rc1; Norine	NOR01915
BGC0000304.0	apicidin	[H][C@]12CCCCN1C(=O)[C@@H](NC(=O)[C@H](CC1=CN(OC)C3=C1C=CC=C3)NC(=O)[C@H](CCCCCC(=O)CC)NC2=O)C(C)CC	Fusarium incarnatum	JWOGUUIOCYMBPV-LQJYRIKDSA-N	MIBiG4.0rc1	
BGC0000305.0	arthrofactin A	CCCCCCC[C@H](O)CC(N[C@@H](C(N[C@@H](C(N[C@H]([C@H](OC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](CO)NC(C(CC(C)C)N1)=O)=O)[C@@H](C)CC)=O)[C@@H](C)CC)=O)CC(O)=O)=O)C)C(N[C@@H](C(N[C@H](CC(C)C)C(N[C@H](CO)C1=O)=O)=O)CC(C)C)=O)=O)CC(O)=O)=O)CC(C)C)=O	Pseudomonas sp. MIS38	UROZFFDPLXHNMZ-ATOUVZBTSA-N	MIBiG4.0rc1	
BGC0000306.0	arylomycin	CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC(=C(C=C2)O)C3=C(C=CC(=C3)C[C@H](NC(=O)[C@@H](NC1=O)C)C(=O)O)O	Streptomyces filamentosus NRRL 11379	HGWCKYGOWQEYSJ-JBWZRHCTSA-N	MIBiG4.0rc1	
BGC0000307.0	AbT1	[H][C@@](C)(CC)[C@]1([H])NC(=O)[C@]2([H])CCCN2C(=O)[C@]([H])(CC2=CC=CC=C2)N(C)C(=O)[C@]([H])(CC2=CC=CC=C2)NC(=O)[C@]([H])(C(C)C)N(C)C(=O)[C@]([H])(OC(=O)[C@@]([H])(N(C)C(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(C(C)C)N(C)C1=O)C(C)(C)O)[C@@]([H])(C)CC	Aureobasidium pullulans	RLMLFADXHJLPSQ-QLLGQPFOSA-N	MIBiG4.0rc1	
BGC0000308.0	aureusimine A; tyrvalin	CC(C)C1=NC=C(NC1=O)CC2=CC=C(C=C2)O	Staphylococcus aureus subsp. aureus str. JKD6008; Streptococcus mutans	OVNQNQOVBVQZCE-UHFFFAOYSA-N	MIBiG4.0rc1	BGC0002287.2
BGC0000308.1	aureusimine B	CC(C)C1=NC=C(NC1=O)CC2=CC=CC=C2	Staphylococcus aureus subsp. aureus str. JKD6008	CZUORGWXUVRUMV-UHFFFAOYSA-N	MIBiG4.0rc1	
BGC0000308.2	aureusimine C; leuvalin	CC(C)CC1=CN=C(C(=O)N1)C(C)C	Staphylococcus aureus subsp. aureus str. JKD6008; Streptococcus mutans	WLZSJRZITZLEPW-UHFFFAOYSA-N	MIBiG4.0rc1	BGC0002287.1
