ID	Name	SMILES	Origin	InChiKey	Source	Alternative IDs
BGC0000329.0	corpeptin A	CCCCCCCC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	FKHKGFPKDCFJTR-OLOWBZJQSA-N	MIBiG4.0rc1; Norine	NOR00350
BGC0000329.1	corpeptin B	CCCC/C=C\CC(CC(=N/C(=C\C)/C(=O)N1CCC[C@H]1C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@@H](CCO)C(=N[C@@H](C(C)C)C(=N[C@@H]([C@H](C)CC)C(=NC(=C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C)C(=N[C@@H](C(C)C)C(=N/C(=C\C)/C(=N[C@H]2[C@@H](OC(=O)[C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](N=C2O)C)O)CCN)O)CO)O)[C@@H](C)CC)C)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O	Pseudomonas corrugata	GKFSXZMXKLOLNR-YOAJQWAZSA-N	MIBiG4.0rc1	
BGC0000330.0	cupriachelin	CCCCCCCCCC(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@H](O)C(O)=O)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C[C@H](C)O)C(O)=O	Cupriavidus necator H16	NKYSSGMAMSGPMC-UBFCWUJISA-N	MIBiG4.0rc1	
BGC0000334.0	cyclosporin A	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	Tolypocladium inflatum NRRL 8044	PMATZTZNYRCHOR-CGLBZJNRSA-N	MIBiG4.0rc1	
BGC0000335.0	cystomanamide A	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O	Cystobacter fuscus	JENXRARIASYFRK-LXTLSNALSA-N	MIBiG4.0rc1	
BGC0000335.1	cystomanamide B	CC(C)CCCCC[C@@H](N)CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(=O)OC[C@@H](O)C(=O)N[C@H](CC1=CC=C(O)C=C1)C(O)=O	Cystobacter fuscus	XVVKSDYJVOKNQB-YUSBRPJASA-N	MIBiG4.0rc1	
BGC0000335.2	cystomanamide C	CC(C)CCCCC[C@H](CC(=O)N[C@H](CC(N)=O)C(=O)N[C@@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](O)C1=CC=CC=C1)C(O)=O)NC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O	Cystobacter fuscus	ZQVAGUCMGLTYLM-XYGWJPTCSA-N	MIBiG4.0rc1	
BGC0000336.0	daptomycin	CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@H](C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C	Streptomyces filamentosus NRRL 11379	DOAKLVKFURWEDJ-QCMAZARJSA-N	MIBiG4.0rc1	
BGC0000337.0	destruxin A	[H][C@@]12CCCN1C(=O)[C@@H](CC=C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC2=O)[C@@H](C)CC	Metarhizium robertsii ARSEF 23	XIYSEKITPHTMJT-OCCJOITDSA-N	MIBiG4.0rc1	
BGC0000338.0	echinocandin B	CCCCC/C=C\C/C=C\CCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H]([C@H](CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](C)O)C)O)O)O	Aspergillus rugulosus; Aspergillus nidulans NRRL 8112	FAUOJMHVEYMQQG-HVYQDZECSA-N	MIBiG4.0rc1	BGC0001371.0
